zpid,lgbm_pred
1009018,13.088543
1001436,13.445149
1010988,13.173471
1002184,12.542762
1015717,12.606141
1001346,13.289376
1006728,11.835417
1002644,12.43611
1009198,13.522313
1008339,13.146346
1017567,13.210835
1014281,13.406678
1016770,13.804033
1007599,12.907446
1015766,12.024794
1011268,13.28524
1015728,12.304511
1005910,13.243893
1012305,11.911567
1000209,12.716853
1011855,13.749553
1012252,13.645276
1010211,12.057765
1006401,13.20231
1009723,13.311217
1013941,13.646494
1016219,13.209173
1009350,13.804166
1005071,13.629903
1010399,12.932438
1013189,12.276303
1003138,13.943518
1015723,12.539129
1006247,12.856373
1007478,13.829993
1003685,13.855651
1004764,12.232756
1009233,13.022174
1010893,12.964094
1012091,14.153576
1017092,14.062502
1003069,11.993187
1012178,11.827722
1006136,12.13055
1003701,12.406826
1002491,11.876929
1012167,12.091207
1001683,13.844492
1006785,12.663134
1014002,11.848098
1004666,13.026779
1016954,13.314398
1012772,13.051908
1010688,13.332339
1012968,12.954914
1001415,13.697942
1011748,13.196219
1007073,12.988825
1004221,11.653206
1010651,13.875587
1005362,12.670701
1012256,12.740215
1000135,13.742492
1010219,12.964926
1000261,13.706197
1003779,13.123981
1007814,13.26793
1017541,12.562581
1008693,12.323699
1006051,13.128291
1012475,12.726914
1010967,13.317262
1010153,12.704113
1007854,13.864528
1001543,11.903737
1012709,12.751934
1011522,13.047002
1010467,12.94552
1016019,13.138219
1011087,13.269181
1011360,12.133407
1011923,13.214233
1013380,13.437235
1010592,13.286689
1011882,12.43391
1012814,12.616546
1017039,13.331269
1014089,13.101141
1004163,13.3918
1008400,12.706687
1015904,13.21469
1006975,13.394272
1001501,12.966884
1010533,12.747022
1007574,14.120965
1006887,12.847807
1007117,13.737839
1015872,13.905591
1000949,13.083436
1016984,12.177991
1008493,13.869568
1001066,13.634071
1014890,12.997176
1009150,12.787843
1015445,13.253826
1003773,13.125611
1000521,13.531472
1009827,12.730462
1007448,13.288189
1004064,13.702564
1013351,12.64802
1007934,13.846906
1005772,13.677821
1012467,13.40204
1009678,13.491196
1003903,13.368089
1007368,13.408724
1001019,13.201174
1015956,13.831711
1007676,13.377654
1003862,12.960777
1009421,13.151886
1008790,12.335537
1016222,12.161239
1011510,13.181376
1003760,11.922277
1010095,13.268404
1016848,13.243517
1007981,13.417994
1001863,12.927591
1017279,13.472378
1000210,13.390744
1009220,13.060123
1000670,13.80193
1011975,13.031439
1009650,12.442238
1012244,13.109795
1004490,13.654064
1008783,13.301339
1013050,12.226003
1014078,13.345169
1014560,13.035573
1011972,13.658809
1013813,11.733982
1016790,13.004355
1005284,12.172154
1013954,12.535297
1008243,13.135958
1005551,13.163872
1013022,12.486807
1009326,12.818997
1012559,12.63281
1016326,13.371995
1001392,12.940086
1008539,11.861305
1007707,13.000767
1011195,12.197415
1006858,11.683034
1012325,13.410301
1014033,13.206821
1002285,13.393718
1008722,13.632129
1005675,12.547183
1000444,12.639912
1007793,12.838227
1013869,12.74388
1002067,13.511178
1000680,12.975476
1014261,11.900961
1002004,12.139467
1014357,12.544877
1006564,12.735034
1012486,13.060935
1008327,12.564267
1014927,13.133337
1016358,13.153453
1004321,13.407763
1009489,13.145208
1012778,13.034953
1007474,14.026403
1013121,13.00928
1016128,12.282215
1009970,13.00306
1012507,12.811375
1003514,13.223517
1008680,12.953978
1001048,13.677404
1009306,13.805234
1002808,12.674719
1013767,13.390167
1003098,13.341013
1015467,13.767086
1000732,13.243292
1012332,13.331484
1016463,12.118047
1008306,13.055968
1000082,12.474556
1016942,12.665087
1005131,12.364593
1012116,12.75502
1001352,12.564405
1010888,13.823493
1016602,13.057055
1004492,12.503919
1005418,13.380523
1013371,12.020078
1015183,12.91255
1005090,12.577297
1016445,13.311943
1011665,13.961643
1008838,13.108754
1008874,13.630648
1012856,13.159703
1001188,13.265282
1001187,13.171953
1008604,12.173232
1014429,12.991668
1002847,13.091488
1001025,13.064951
1015817,13.821975
1005642,13.041197
1006378,14.062055
1001069,13.54997
1014222,12.948876
1016125,13.4762
1002759,12.551834
1011156,13.331535
1011969,12.92822
1001545,13.008473
1017127,12.882943
1002355,12.410825
1014169,13.154415
1008570,13.275656
1004005,13.905471
1004894,13.212394
1012897,13.123124
1003477,12.857319
1016230,13.53992
1002997,12.523788
1009934,12.520276
1009074,13.427495
1017484,13.750006
1008101,13.290956
1002220,13.38959
1015864,13.378341
1014237,13.713939
1002982,13.434023
1009718,14.033252
1009757,12.905339
1006687,13.898582
1014726,12.096605
1002009,12.255836
1013798,12.860806
1017131,13.16983
1007602,13.049051
1016980,13.902103
1005173,11.605366
1016941,12.720075
1002924,13.414995
1009576,12.07425
1002851,13.057426
1008706,13.021272
1017475,14.028945
1004393,11.622624
1009382,13.831009
1003761,12.740784
1010699,13.118348
1013530,13.12143
1002399,13.173405
1015545,12.780558
1008940,13.350503
1002871,11.979862
1006334,11.639456
1010723,13.081425
1014722,12.441628
1004260,13.740337
1009453,13.354526
1002785,12.637563
1010931,12.884294
1002958,13.212297
1017144,13.159826
1006265,12.80979
1008271,13.530678
1006945,13.023259
1008172,12.992265
1008449,13.504866
1014495,12.993422
1011614,13.700814
1009895,13.141235
1010979,13.426952
1008507,12.94109
1015957,13.005112
1001535,12.492234
1003583,13.330793
1002687,13.482929
1010112,12.980274
1015560,13.276072
1014494,12.962093
1011340,13.48784
1000258,12.171583
1003971,13.564639
1001035,13.978405
1010408,12.964599
1010056,13.287504
1009680,12.724159
1014770,13.293714
1015729,12.028362
1016113,12.96712
1006018,11.934043
